Rank,Title,Authors,Journal,Publication Year,GCS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,CitedPerYear
193,Distributed Intelligent Automation Solutions for Self-adaptive Manufacturing Plants,"Brusaferri, Alessandro; Ballarino, Andrea; Carpanzano, Emanuele",BALANCED AUTOMATION SYSTEMS FOR FUTURE MANUFACTURING NETWORKS,2010,4,0,0,0,0,0,1,0,0,2,1,0.5714285714285714
194,A Technology Roadmap on SOA for Smart Embedded Devices: Towards Intelligent Systems in Manufacturing,"Cannata, A.; Gerosa, M.; Taisch, M.","IEEM: 2008 INTERNATIONAL CONFERENCE ON INDUSTRIAL ENGINEERING AND ENGINEERING MANAGEMENT, VOLS 1-3",2008,5,0,0,1,0,0,0,2,1,1,0,0.5555555555555556
195,Intelligent Decision Support and Agent-Based Techniques Applied to Wood Manufacturing,"Elghoneimy, Eman; Gruver, William A.",INTERNATIONAL SYMPOSIUM ON DISTRIBUTED COMPUTING AND ARTIFICIAL INTELLIGENCE,2011,3,0,0,0,0,0,1,0,0,0,2,0.5
196,Simulation-based Production Scheduling with Optimization of Electricity Consumption and Cost in Smart Manufacturing Systems,"Sun, Zeyi; Wei, Dong; Wang, Lingyun; Li, Lin",2015 INTERNATIONAL CONFERENCE ON AUTOMATION SCIENCE AND ENGINEERING (CASE),2015,1,0,0,0,0,0,0,0,0,0,1,0.5
197,Reference Model for Smart x Sensing Manufacturing Collaborative Networks - Formalization Using Unified Modeling Language,"Chavarria-Barrientos, Dante; Molina Espinosa, Jose Martin; Batres, Rafael; Ramirez-Cadena, Miguel; Molina, Arturo",RISKS AND RESILIENCE OF COLLABORATIVE NETWORKS,2015,1,0,0,0,0,0,0,0,0,0,1,0.5
198,Subject-Oriented BPM as the Glue for Integrating Enterprise Processes in Smart Factories,"Kannengiesser, Udo; Neubauer, Matthias; Heininger, Richard",ON THE MOVE TO MEANINGFUL INTERNET SYSTEMS: OTM 2015 WORKSHOPS,2015,1,0,0,0,0,0,0,0,0,0,1,0.5
199,"Intelligent Manufacturing Operations Planning, Scheduling and Dispatching on the Basis of Virtual Machine Tools","Rehage, Gerald; Bauer, Frank; Gausemeier, Juergen; Jurke, Benjamin; Pruschek, Peter",DIGITAL PRODUCT AND PROCESS DEVELOPMENT SYSTEMS,2013,2,0,0,0,0,0,0,0,0,1,1,0.5
200,Intelligent production planning for complex garment manufacturing,"Mok, P. Y.; Cheung, T. Y.; Wong, W. K.; Leung, S. Y. S.; Fan, J. T.",JOURNAL OF INTELLIGENT MANUFACTURING,2013,2,0,0,0,0,0,0,0,0,1,1,0.5
201,BLE Power Consumption Estimation and Its Applications to Smart Manufacturing,"Tei, Ritsu; Yamazawa, Hiroyuki; Shimizu, Takao",2015 54TH ANNUAL CONFERENCE OF THE SOCIETY OF INSTRUMENT AND CONTROL ENGINEERS OF JAPAN (SICE),2015,1,0,0,0,0,0,0,0,0,0,1,0.5
202,Modeling the thermal behavior of PZT patches during the manufacturing process of smart thermoplastic structures,"Elsoufi, L.; Khalil, K.; Lachat, R.; Charon, W.",SMART MATERIALS & STRUCTURES,2007,5,0,0,0,1,1,1,0,0,1,1,0.5
203,Using formal methods to scope performance challenges for Smart Manufacturing Systems: Focus on agility,"Jung, Kiwook; Morris, K. C.; Lyons, Kevin W.; Leong, Swee; Cho, Hyunbo",CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,2015,1,0,0,0,0,0,0,0,0,0,1,0.5
204,Robotic Based Fire Detection in Smart Manufacturing Facilities,"Rehman, Adeel Ur; Necsulescu, Dan-Sorin; Sasiadek, Jurek",IFAC PAPERSONLINE,2015,1,0,0,0,0,0,0,0,0,0,1,0.5
205,Employing smart units and servitization towards reconfigurability of manufacturing processes,"Brad, Stelian; Murar, Mircea","7TH INDUSTRIAL PRODUCT-SERVICE SYSTEMS CONFERENCE - IPSS, INDUSTRY TRANSFORMATION FOR SUSTAINABILITY AND BUSINESS",2015,1,0,0,0,0,0,0,0,0,0,1,0.5
206,Addressing sustainability and flexibility in manufacturing via smart modular machine tool frames to support sustainable value creation,"Peukert, Bernd; Benecke, Stephan; Clavell, Janire; Neugebauer, Sabrina; Nissen, Nils F.; Uhlmann, Eckart; Lang, Klaus-Dieter; Finkbeiner, Matthias",22ND CIRP CONFERENCE ON LIFE CYCLE ENGINEERING,2015,1,0,0,0,0,0,0,0,0,0,1,0.5
207,Spatio-temporal Data Model Enabled Real-time Monitoring System for the Discrete Manufacturing Workshop,"Lu, Kun; Guo, Yu; Wei, Fangjian; Xie, Xinping",2015 IEEE INTERNATIONAL CONFERENCE ON INFORMATION AND AUTOMATION,2015,1,0,0,0,0,0,0,0,0,0,1,0.5
208,Implementation of real time factory information system using arduino and android,"Watve, Omkar Jayant",2015 INTERNATIONAL CONFERENCE ON COMMUNICATIONS AND SIGNAL PROCESSING (ICCSP),2015,1,0,0,0,0,0,0,0,0,0,1,0.5
209,A Visible Light Communication Link Protection Mechanism For Smart Factory,"Chang, Shih-Hao",2015 IEEE 29TH INTERNATIONAL CONFERENCE ON ADVANCED INFORMATION NETWORKING AND APPLICATIONS WORKSHOPS WAINA 2015,2015,1,0,0,0,0,0,0,0,0,1,0,0.5
210,A real-time manufacturing risk management system: An integrated RFID approach,"Poon, Kenneth T. C.; Choy, K. L.; Lau, Henry C. W.","PICMET '07: PORTLAND INTERNATIONAL CENTER FOR MANAGEMENT OF ENGINEERING AND TECHNOLOGY, VOLS 1-6, PROCEEDINGS: MANAGEMENT OF CONVERGING TECHNOLOGIES",2007,5,0,0,1,1,0,0,0,0,3,0,0.5
211,A Formal Process for Community-Based Reference Model Evolution for Smart Manufacturing Systems,"Ameri, Farhad; Kulvatunyou, Boonserm; Ivezic, Nenad","ADVANCES IN PRODUCTION MANAGEMENT SYSTEMS: INNOVATIVE PRODUCTION MANAGEMENT TOWARDS SUSTAINABLE GROWTH (AMPS 2015), PT II",2015,1,0,0,0,0,0,0,0,0,0,1,0.5
212,Intelligent Alarm System applied to Continuous Pharmaceutical Manufacturing,"Gupta, Anshu; Giridhar, Arun; Reklaitis, Ginataras V.; Venkatasubramanian, Venkat",23 EUROPEAN SYMPOSIUM ON COMPUTER AIDED PROCESS ENGINEERING,2013,2,0,0,0,0,0,0,0,0,0,2,0.5
213,Robots at Work: Toward a Smarter Factory,"Brooks, Rodney",FUTURIST,2013,2,0,0,0,0,0,0,0,0,1,1,0.5
214,Autonomic smart manufacturing,"Menasce, Daniel A.; Krishnamoorthy, Mohan; Brodsky, Alexander",JOURNAL OF DECISION SYSTEMS,2015,1,0,0,0,0,0,0,0,0,0,1,0.5
215,Simulation-Based 'Smart' Operation Management System for Semiconductor Manufacturing,"Choi, Byoung K.; Kim, Byung H.","ADVANCES IN PRODUCTION MANAGEMENT SYSTEMS: INNOVATIVE PRODUCTION MANAGEMENT TOWARDS SUSTAINABLE GROWTH (AMPS 2015), PT II",2015,1,0,0,0,0,0,0,0,0,0,1,0.5
216,Decomposing Packaged Services Towards Configurable Smart Manufacturing Systems,"Kim, Taehun; Bang, Seunghwan; Jung, Kiwook; Cho, Hyunbo","ADVANCES IN PRODUCTION MANAGEMENT SYSTEMS: INNOVATIVE PRODUCTION MANAGEMENT TOWARDS SUSTAINABLE GROWTH (AMPS 2015), PT II",2015,1,0,0,0,0,0,0,0,0,1,0,0.5
217,Manufacturing resources and demand intelligent matching in cloud manufacturing environment,"Tai, Lijun; Hu, Rufu; Chen, Caowei; Huang, Yuandong","SUSTAINABLE DEVELOPMENT OF NATURAL RESOURCES, PTS 1-3",2013,2,0,0,0,0,0,0,0,1,0,1,0.5
218,Real-time Simulation as a new tool in Future Advanced Aerospace Project Design and Manufacturing Processes,"Ahmed, N. A.; Page, J. R.","EQUIPMENT MANUFACTURING TECHNOLOGY AND AUTOMATION, PTS 1-3",2011,3,0,0,0,0,0,1,1,1,0,0,0.5
219,An intelligent system designed for controlling the manufacturing process in a flexible manufacturing system,"Morosan, A. D.; Sisak, F.",2013 IEEE 8TH INTERNATIONAL SYMPOSIUM ON APPLIED COMPUTATIONAL INTELLIGENCE AND INFORMATICS (SACI 2013),2013,2,0,0,0,0,0,0,0,0,1,1,0.5
220,"Design, Manufacturing, and Test of a Real-Time, Three-Axis Magnetic Field Simulator","Piergentili, Fabrizio; Candini, Gian Paolo; Zannoni, Marco",IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,2011,3,0,0,0,0,0,0,0,1,0,2,0.5
221,A study on real-time scheduling for holonic manufacturing systems - Simulation for estimation of future status by individual holons,"Iwamura, Koji; Nakano, Atsushi; Tanimizu, Yoshitaka; Sugimura, Nobuhiro","HOLONIC AND MULTI-AGENT SYSTEMS FOR MANUFACTURING, PROCEEDINGS",2007,5,0,1,1,2,0,1,0,0,0,0,0.5
222,Clamping Fixtures for Intelligent Cell Manufacturing,"Velisek, Karol; Kostal, Peter; Zvolensky, Radovan","INTELLIGENT ROBOTICS AND APPLICATIONS, PT II, PROCEEDINGS",2008,4,0,0,0,0,2,1,1,0,0,0,0.4444444444444444
223,Using Context-aware Workflows for Failure Management in a Smart Factory,"Wieland, Matthias; Leymann, Frank; Schaefer, Michael; Lucke, Dominik; Constantinescu, Carmen; Westkaemper, Engelbert","UBICOMM 2010: THE FOURTH INTERNATIONAL CONFERENCE ON MOBILE UBIQUITOUS COMPUTING, SYSTEMS, SERVICES AND TECHNOLOGIES",2010,3,0,0,0,0,0,0,0,0,2,1,0.42857142857142855
224,CONTRIBUTIONS TO THE DESIGN AND ANALYSIS OF THE MATERIAL FLOW AT AN INTELLIGENT MANUFACTURING CELL,"Sobrino, Delgado D. R.; Kost'al, P.; Velisek, K.","PROCEEDINGS OF THE 8TH INTERNATIONAL CONFERENCE OF DAAAM BALTIC INDUSTRIAL ENGINEERING, VOLS 1 AND 2",2012,2,0,0,0,0,0,0,0,2,0,0,0.4
225,PVC formulation study for the manufacturing of a skin smart structure based in optical fiber elements,"da Silva, Alexandre Ferreira; Goncalves, Filipe; Mendes, Paulo Mateus; Correia, Jose Higino",POLYMERS FOR ADVANCED TECHNOLOGIES,2012,2,0,0,0,0,0,1,0,1,0,0,0.4
226,An intelligent air quality monitoring model in manufacturing,"Jenab, K.; Seyedhosseini, S. M.; Khoury, S.; Sarfaraz, A.",CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY,2012,2,0,0,0,0,0,0,0,1,1,0,0.4
227,A Function Based Approach for Designing Intelligent Flexible Automated Manufacturing Environments,"Essers, M. S.; Vaneker, T. H. J.",45TH CIRP CONFERENCE ON MANUFACTURING SYSTEMS 2012,2012,2,0,0,0,0,0,0,0,0,0,2,0.4
228,Intelligent systems for manufacturing at Ford Motor Company,"Rychtyckyj, Nestor",IEEE INTELLIGENT SYSTEMS,2007,4,1,0,0,0,1,0,0,1,0,1,0.4
229,Manufacturing Knowledge Modeling Based On Artificial Neural Network for Intelligent CAPP,"Wang, Jun; Zhang, Haili; Su, Zhangyue","NUMBERS, INTELLIGENCE, MANUFACTURING TECHNOLOGY AND MACHINERY AUTOMATION",2012,2,0,0,0,0,0,0,0,1,1,0,0.4
230,Real-time image texture analysis in quality management using grid computing: an application to the MDF manufacturing industry,"Sanchez Santiago, A. J.; Yuste, A. J.; Muoz Expoito, J. E.; Garcia Galan, Sebastian; Prado, R. P.; Maqueira, J. M.; Bruque, S.",INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,2012,2,0,0,0,0,0,0,0,0,1,1,0.4
231,INTEGER PROGRAMMING-BASED REAL-TIME SCHEDULER IN SEMICONDUCTOR MANUFACTURING,"Ham, Myoungsoo; Lee, Young Hoon; Fowler, John W.","PROCEEDINGS OF THE 2009 WINTER SIMULATION CONFERENCE (WSC 2009 ), VOL 1-4",2009,3,0,0,0,0,1,1,0,0,1,0,0.375
232,CUSTOMER RELATIONSHIP MANAGEMENT AS KEY ELEMENT FOR INTELLIGENT MANUFACTURING,"Pelau, Corina; Pop, Nicolae A.; Ghinea, Valentina",ANNALS OF DAAAM FOR 2009 & PROCEEDINGS OF THE 20TH INTERNATIONAL DAAAM SYMPOSIUM,2009,3,0,0,0,0,1,1,1,0,0,0,0.375
233,"Introductory Design, Description and Analysis of the Material Flow at an Intelligent Manufacturing Cell","Sobrino, D. R. Delgado; Kost'al, P.; Mudrikova, A.; Velisek, K.; Vlasek, M.","2011 INTERNATIONAL CONFERENCE ON FUTURE MANAGEMENT SCIENCE AND ENGINEERING (ICFMSE 2011), VOL 1",2011,2,0,0,0,0,0,0,2,0,0,0,0.3333333333333333
234,INTERNET-OF-THINGS-ENABLED SMART PRODUCTION LOGISTICS EXECUTION SYSTEM BASED ON CLOUD MANUFACTURING,"Qu, Ting; Lei, Shuiping; Chen, Yidong; Wang, Zongzhong; Luo, Hao; Huang, George Q.","PROCEEDINGS OF THE ASME 9TH INTERNATIONAL MANUFACTURING SCIENCE AND ENGINEERING CONFERENCE, 2014, VOL 1",2014,1,0,0,0,0,0,0,0,0,0,1,0.3333333333333333
235,"Resource, Service and Product: Real-Time Monitoring Solution for Service Oriented Holonic Manufacturing Systems","Morariu, Octavian; Morariu, Cristina; Borangiu, Theodor",SERVICE ORIENTATION IN HOLONIC AND MULTI-AGENT MANUFACTURING AND ROBOTICS,2014,1,0,0,0,0,0,0,0,0,0,1,0.3333333333333333
236,Design and manufacture of a toroidal-type SMES for combination with real-time digital simulator (RTDS),"Kim, Kwang-min; Kim, A-Rong; Park, Minwon; Yu, In-Keun; Eom, Bum-Yong; Sim, Kidoek; Kim, Seok-Ho; Sohn, Myung-Hwan; Kim, Hae-Jong; Bae, Joon-Han; Seong, Ki-Cheol",CRYOGENICS,2011,2,0,0,0,0,0,0,0,0,1,1,0.3333333333333333
237,A framework for development of an intelligent system for design and manufacturing of stamping dies,"Hussein, H. M. A.; Kumar, S.","27TH INTERNATIONAL CONFERENCE ON CADCAM, ROBOTICS AND FACTORIES OF THE FUTURE 2014",2014,1,0,0,0,0,0,0,0,0,1,0,0.3333333333333333
238,Integration of Wireless Sensor Networks into the Distributed Intelligent Manufacturing within the Framework of IEC 61499 Function Blocks,"Abrishambaf, Reza; Hashemipour, Majid; Bal, Mert","2011 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN, AND CYBERNETICS (SMC)",2011,2,0,0,0,0,0,0,0,1,1,0,0.3333333333333333
239,Intelligent adaptive process control using dynamic deadband for semiconductor manufacturing,"Ko, Hyo-Heon; Kim, Jun-Seok; Kim, Jihyun; Baek, Jun-Geol; Kim, Sung-Shick",EXPERT SYSTEMS WITH APPLICATIONS,2011,2,0,0,0,0,0,0,1,1,0,0,0.3333333333333333
240,MODELLING AND SIMULATION OF ADVANCED FACTORY ENVIRONMENTS INTEGRATING INTELLIGENT EXOSKELETON,,"2014 INTERNATIONAL CONFERENCE ON PRODUCTION RESEARCH - REGIONAL CONFERENCE AFRICA, EUROPE AND THE MIDDLE EAST AND 3RD INTERNATIONAL CONFERENCE ON QUALITY AND INNOVATION IN ENGINEERING AND MANAGEMENT (ICPR-AEM 2014)",2014,1,0,0,0,0,0,0,0,0,0,1,0.3333333333333333
241,Planning of manufacturing networks using an intelligent probabilistic approach for mass customised products,"Doukas, M.; Psarommatis, F.; Mourtzis, D.",INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,2014,1,0,0,0,0,0,0,0,0,0,1,0.3333333333333333
242,A generalized model for quantifying the impact of Ambient Intelligence on smart workplaces: Applications in manufacturing,"Aly, Shady; Pelikan, Martin; Vrana, Ivan",JOURNAL OF AMBIENT INTELLIGENCE AND SMART ENVIRONMENTS,2014,1,0,0,0,0,0,0,0,0,0,1,0.3333333333333333
243,Self-Regulation in Self-Organising Multi-Agent Systems for Adaptive and Intelligent Manufacturing Control,"Clair, Gael; Kaddoum, Elsy; Gleizes, Marie-Pierre; Picard, Gauthier","SASO 2008: SECOND IEEE INTERNATIONAL CONFERENCE ON SELF-ADAPTIVE AND SELF-ORGANIZING SYSTEMS, PROCEEDINGS",2008,3,0,0,0,0,0,2,0,1,0,0,0.3333333333333333
244,Intelligent Utilization of Digital Manufacturing Data in Modern Product Emergence Processes,"Wallis, Regina; Stjepandic, Josip; Rulhoff, Stefan; Stromberger, Frank; Deuse, Jochen",MOVING INTEGRATED PRODUCT DEVELOPMENT TO SERVICE CLOUDS IN THE GLOBAL ECONOMY,2014,1,0,0,0,0,0,0,0,0,1,0,0.3333333333333333
245,Integrated manufacturing process planning and control based on intelligent agents and multi-dimension features,"Liu, Changqing; Li, Yingguang; Shen, Weiming",INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,2014,1,0,0,0,0,0,0,0,0,1,0,0.3333333333333333
246,"Microwave technology: An ubiquitous in line measurement instrument for density, total solids, concentration, especially brix in todays sugar factory","Theisen, K.-H.; Geyer, I.",INTERNATIONAL SUGAR JOURNAL,2007,3,0,2,0,0,1,0,0,0,0,0,0.3
247,Toward automated intelligent manufacturing systems (AIMS),"Chi, Hoi-Ming; Ersoy, Okan K.; Moskowitz, Herbert; Altinkemer, Kemal",INFORMS JOURNAL ON COMPUTING,2007,3,0,0,1,0,1,0,0,1,0,0,0.3
248,Can Ant Algorithms Make Automated Guided Vehicle System More Intelligent? A Viewpoint from Manufacturing Environment,"Xing, Bo; Gao, Wen-Jing; Battle, Kimberly; Marwala, Tshilidzi; Nelwamondo, Fulufhelo V.","IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN AND CYBERNETICS (SMC 2010)",2010,2,0,0,0,0,0,0,0,2,0,0,0.2857142857142857
249,A Study on Real-time Scheduling for Holonic Manufacturing Systems - Application of Reinforcement Learning,"Iwamura, Koji; Mayumi, Norihisa; Tanimizu, Yoshitaka; Sugimura, Nobuhiro",SERVICE ROBOTICS AND MECHATRONICS,2010,2,0,0,0,0,0,0,1,0,1,0,0.2857142857142857
250,Identification and Assimilation of Knowledge for Real-Time Control of Enterprise Processes in Manufacturing,"Grauer, Manfred; Metz, Daniel; Karadgi, Sachin S.; Schaefer, Walter","SECOND INTERNATIONAL CONFERENCE ON INFORMATION, PROCESS, AND KNOWLEDGE MANAGEMENT: EKNOW 2010",2010,2,0,0,0,1,1,0,0,0,0,0,0.2857142857142857
251,Manufacturing process and thermal characterization of a fast temperature switching microdevice for real-time biological experiments,"Gillot, Frederic; Arata, Hideyuki F.; Morin, Fabrice O.; Fujita, Hiroyuki",MICROSYSTEM TECHNOLOGIES-MICRO-AND NANOSYSTEMS-INFORMATION STORAGE AND PROCESSING SYSTEMS,2010,2,0,0,0,0,1,0,1,0,0,0,0.2857142857142857
252,Research of real-time communication systems based on networked manufacturing,Li Yu-zhong; Fu Xiao-guang,"ICMS2010: PROCEEDINGS OF THE THIRD INTERNATIONAL CONFERENCE ON MODELLING AND SIMULATION, VOL 1: ENGINEERING COMPUTATION AND FINITE ELEMENT ANALYSIS",2010,2,0,0,0,0,1,0,0,0,0,1,0.2857142857142857
253,Development of thermal deformation compensation device and CNC based real-time compensation for advanced manufacturing,"Kim, D. -H.; Song, J. -Y.",INTERNATIONAL JOURNAL OF AUTOMOTIVE TECHNOLOGY,2013,1,0,0,0,0,0,0,0,1,0,0,0.25
254,Study on Manufacturing Technology of Phase Change Materials and Smart Thermo-regulated Textiles,"He, Fangrong","ADVANCES IN TEXTILE ENGINEERING AND MATERIALS III, PTS 1 AND 2",2013,1,0,0,0,0,0,0,0,0,1,0,0.25
255,CLOUD COMPUTING BASED INTELLIGENT MANUFACTURING SCHEDULING SYSTEM USING THE QUALITY PREDICTION METHOD,"Huang, Chung-Lin; Huang, Chung-Chi",TRANSACTIONS OF THE CANADIAN SOCIETY FOR MECHANICAL ENGINEERING,2013,1,0,0,0,0,0,0,0,0,1,0,0.25
256,Real-time scheduling in manufacturing system with machining and assembly operations: a state of art,"Khodke, P. M.; Bhongade, A. S.",INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,2013,1,0,0,0,0,0,0,0,1,0,0,0.25
257,RFID-based Manufacturing Execution System for Intelligent Operations,"Chen, X.; Xie, Z. X.; Zheng, L.","2009 IEEE 16TH INTERNATIONAL CONFERENCE ON INDUSTRIAL ENGINEERING AND ENGINEERING MANAGEMENT, VOLS 1 AND 2, PROCEEDINGS",2009,2,0,0,0,0,0,0,0,1,0,1,0.25
258,Application of Intelligent Strategies for Cooperative Manufacturing Planning,"Li, Weidong; Gao, Liang; Li, Xinyu",JOURNAL OF UNIVERSAL COMPUTER SCIENCE,2009,2,0,0,0,0,0,0,0,1,1,0,0.25
259,Concept of an intelligent Production Control for Global Manufacturing in dynamic Environments based on Rescheduling,"Lanza, G.; Stricker, N.; Moser, R.",2013 IEEE INTERNATIONAL CONFERENCE ON INDUSTRIAL ENGINEERING AND ENGINEERING MANAGEMENT (IEEM 2013),2013,1,0,0,0,0,0,0,0,0,0,1,0.25
260,Sustaining Manufacturing Assets Through Smarter Utilization of Information and Communication Technologies,"Srinivasan, Vijay",2009 IEEE INTERNATIONAL CONFERENCE ON AUTOMATION SCIENCE AND ENGINEERING,2009,2,0,0,0,0,0,0,0,1,0,1,0.25
261,An Adaptive Intelligent Method for Manufacturing Process Optimization in Steelworks,"Zhu, Xia; Li, Xiaoping; Wang, Qian",PROCEEDINGS OF THE 2013 IEEE 17TH INTERNATIONAL CONFERENCE ON COMPUTER SUPPORTED COOPERATIVE WORK IN DESIGN (CSCWD),2013,1,0,0,0,0,0,0,0,0,0,1,0.25
262,Scalable Planning in the Semantic Web - A Smart Factory Assembly Line Balancing Example,"Fischer, Thomas; Ruhland, Johannes","2013 IEEE/WIC/ACM INTERNATIONAL JOINT CONFERENCES ON WEB INTELLIGENCE (WI) AND INTELLIGENT AGENT TECHNOLOGIES (IAT), VOL 1",2013,1,0,0,0,0,0,0,0,1,0,0,0.25
263,Delivering optimal real-time manufacturing intelligence,"Cooley, Jonathan; Petrusich, Jim",2013 PROCEEDINGS OF TECHNOLOGY MANAGEMENT IN THE IT-DRIVEN SERVICES (PICMET'13),2013,1,0,0,0,0,0,0,0,0,1,0,0.25
264,A 1.6 GHz Quad-Core Application Processor Manufactured in 32 nm High-k Metal Gate Process for Smart Mobile Devices,"Yang, Se-Hyun; Pyo, Jungyul; Shin, Youngmin; Son, Jae Cheol",IEEE COMMUNICATIONS MAGAZINE,2013,1,0,0,0,0,0,0,1,0,0,0,0.25
265,"Incorporation, programming and use of an ABB robot for the operations of palletizing and depalletizing at an academic research oriented to Intelligent manufacturing cell","Holubek, Radovan; Velisek, Karol",ROBOTICS IN THEORY AND PRACTICE,2013,1,0,0,0,0,0,0,0,1,0,0,0.25
266,In situ monitoring and real-time control of gate hardmask etching in high-volume manufacturing of ICs,"Chen, Lele; Jiang, Weinan; Pao, Todd; Lin, Bill; Xu, Linda; Ji, Gaoming; Cai, Hui",JOURNAL OF THE ELECTROCHEMICAL SOCIETY,2008,2,0,0,1,1,0,0,0,0,0,0,0.2222222222222222
267,An exit for the IT industry?: Market saturation and the convergence of ubiquitous technology for manufacturing and service sectors,"Kim, Junmo",INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,2008,2,0,0,0,1,0,0,0,0,0,1,0.2222222222222222
268,Intelligent manufacturing systems: a methodology for technological migration,"Garnboa-Revilla, Jorge; Ramirez-Cadena, Miguel","WORLD CONGRESS ON ENGINEERING 2008, VOLS I-II",2008,2,0,0,0,2,0,0,0,0,0,0,0.2222222222222222
269,Smart Factory: e-Business Perspective of Enhanced ERP in Aircraft Manufacturing Industry,"Rashid, M. Asif; Riaz, Zainab; Turan, Erkan; Haskilic, Volkan; Sunje, Aziz; Khan, Nawar",PICMET '12: PROCEEDINGS - TECHNOLOGY MANAGEMENT FOR EMERGING TECHNOLOGIES,2012,1,0,0,0,0,0,0,0,1,0,0,0.2
270,Real-time decision support for assembly and test operations in semiconductor manufacturing,"Bard, Jonathan F.; Gao, Zhufeng; Chacon, Rodolfo; Stuber, John",IIE TRANSACTIONS,2012,1,0,0,0,0,0,0,0,0,1,0,0.2
271,Intelligent decision support system for the adaptive control of a flexible manufacturing system with machine and tool flexibility,"Shirazi, Babak; Mahdavi, Iraj; Solimanpur, Maghsud",INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,2012,1,0,0,0,0,0,0,0,1,0,0,0.2
272,Ontology Based Intelligent Assistance System to Support Manufacturing Activities in a Distributed Manufacturing Environment,"Minhas, S.; Juzek, C.; Berger, U.",45TH CIRP CONFERENCE ON MANUFACTURING SYSTEMS 2012,2012,1,0,0,0,0,0,0,0,0,1,0,0.2
273,Monitoring the dissolution of active pharmaceutical ingredient and TPGS in real time via IR spectroscopy during the manufacturing of liquid dosage formulation,"Sasic, Slobodan; Palm, Andrew S.; Tang, Degui",JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS,2012,1,0,0,0,0,0,0,0,1,0,0,0.2
274,Intelligent Experience based Support Tools for Aerospace Manufacturing Technology Selection,"Evans, Liam; Lohse, Niels; Summers, Mark",2012 IEEE AEROSPACE CONFERENCE,2012,1,0,0,0,0,0,0,1,0,0,0,0.2
275,Smart Reverse Supply Chain: An Application of IoT to Green Manufacturing,"Xu, Xueqi; Jin, Cong; Cao, Yudong",FUNCTIONAL MANUFACTURING AND MECHANICAL DYNAMICS II,2012,1,0,0,0,0,0,0,0,0,0,1,0.2
276,Integrated Engineering - A SME-Suitable Model for Business and Information Systems Engineering (BISE) towards the Smart Factory,"Wuertz, Guenther; Koelmel, Bernhard",COLLABORATIVE NETWORKS IN THE INTERNET OF SERVICES,2012,1,0,0,0,0,0,0,0,0,1,0,0.2
277,REAL-TIME MULTISCALE DETECTION OF DEFECTIVE PILLS DURING MANUFACTURING,"Douglas, Craig C.; Deng, Li; Efendiev, Yalchin; Haase, Gunfolf; Kucher, Anfread; Lodder, Robert A.",INTERNATIONAL JOURNAL OF NUMERICAL ANALYSIS AND MODELING,2012,1,0,0,0,0,0,0,0,0,0,1,0.2
278,NOVEL TRENDS IN THE INTELLIGENT MANUFACTURING SYSTEMS,"Kerak, P.; Holubek, R.; Kost'al, P.","PROCEEDINGS OF THE 8TH INTERNATIONAL CONFERENCE OF DAAAM BALTIC INDUSTRIAL ENGINEERING, VOLS 1 AND 2",2012,1,0,0,0,0,0,0,0,1,0,0,0.2
279,Using Auto-ID Technologies to Implement Real-time Manufacturing Resources Tracking and Tracing,"Li, Haining; Sun, Shudong; Zhang, Yingfeng","FRONTIERS OF MANUFACTURING AND DESIGN SCIENCE II, PTS 1-6",2012,1,0,0,0,0,0,0,1,0,0,0,0.2
280,Quality assurance of manufactures by means of intelligent tomographic processing,"Barbuzza, Rosana G.; Venere, Marcelo J.; Clausse, Alejandro",JOURNAL OF TESTING AND EVALUATION,2007,2,0,0,0,1,0,0,1,0,0,0,0.2
281,Real-time Information Capturing and Integration Framework of the Internet of Manufacturing Things,"Zhang, Yingfeng; Wang, Junqiang; Sun, Shudong","FRONTIERS OF MANUFACTURING AND DESIGN SCIENCE II, PTS 1-6",2012,1,0,0,0,0,0,0,0,1,0,0,0.2
282,Real-time controlled multi-objective scheduling through ANNs and fuzzy inference systems: The case of DRC manufacturing,"Araz, Ozlem Uzun","Computational Science - ICCS 2007, Pt 4, Proceedings",2007,2,0,1,0,0,1,0,0,0,0,0,0.2
283,Intelligent Identification of Manufacturing Operations Using In-Situ Energy Measurement in Industrial Injection Moulding Machines,"Chee, Xiang Min; Le, Cao Vinh; Zhang, Dan Hong; Luo, Ming; Pang, Chee Khiang",IECON 2011: 37TH ANNUAL CONFERENCE ON IEEE INDUSTRIAL ELECTRONICS SOCIETY,2011,1,0,0,0,0,0,0,0,1,0,0,0.16666666666666666
